dsnumber,check_import,check_chanloc,remove_chan,cleanraw,runica,iclabel,dataqual,modality,debug_note,manual_debug_note,latest_batch_run
ds004256,ok,30/53,30/53,30/53,30/53,30/53,ok,eeg,,Done with NEMAR warning about channel locations.	,02-26-2024
ds004315,ok,ok,ok,ok,ok,ok,46/50,eeg,ok,,01-24-2024
ds003474,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,02-21-2024
ds002034,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,09-05-2023
ds003509,ok,ok,ok,0/1,0/1,0/1,0/1,eeg,,,08-22-2023
ds004186,-1,-1,-1,-1,-1,-1,-1,eeg,,NEMAR.json updated. NDARNZ792HBN duplicate subject. https://github.com/sccn/NEMAR-pipeline/issues/66,02-27-2024
ds003825,ok,ok,ok,ok,ok,ok,49/50,eeg,ok,,06-26-2023
ds004121,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds004635,ok,ok,ok,20/55,0/55,0/55,20/55,eeg,,,10-02-2023
ds003516,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds004575,ok,ok,ok,ok,ok,ok,ok,unknown,ok,,01-24-2024
ds004348,ok,ok,ok,ok,ok,12/18,ok,eeg,,,01-10-2024
ds003633,ok,ok,ok,15/89,0/89,0/89,23/89,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds004598,ok,0/20,0/20,0/20,0/20,0/20,ok,eeg,,Done. NEMAR.json now indicates an error because of unknown channels.	,08-13-2024
ds003195,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds004473,ok,ok,ok,7/8,7/8,0/8,7/8,ieeg,,,01-17-2024
ds002908,ok,ok,ok,0/53,0/53,0/53,51/53,meg,,,12-22-2023
ds003848,ok,ok,ok,8/22,7/22,0/22,7/22,ieeg,,,01-17-2024
ds002336,ok,0/54,0/54,0/54,0/54,0/54,53/54,eeg,,"Rerun. This one has 10-20 channel location in the VHDR files so if there is still 0 channel location after rerun, ask Dung to look at it. https://github.com/sccn/NEMAR-pipeline/issues/85",08-13-2024
ds004043,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-27-2023
ds003517,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds004368,ok,ok,ok,0/40,0/40,0/40,0/40,eeg,,"Add Warning to NEMAR file. Warning: data is epoched, so some visualization function are not functional. Note that the data is marked as ""raw"" so it is not technically BIDS compliant because raw EEG data is continuous.",10-12-2023
ds004584,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,11-27-2023
ds003374,ok,ok,ok,ok,0/9,0/9,0/9,ieeg,,,01-17-2024
ds003506,ok,ok,ok,ok,82/84,82/84,ok,eeg,ok,,02-21-2024
ds004284,ok,ok,ok,3/18,3/18,3/18,3/18,eeg,,,11-27-2023
ds004738,ok,ok,ok,0/13,0/13,0/13,0/13,meg,,Crashed because of one session with no data https://github.com/sccn/NEMAR-pipeline/issues/83,08-28-2024
ds003570,ok,ok,ok,ok,28/32,28/32,ok,eeg,ok,"Excluded failed subjects [3 4 5 13 19 22]
",09-15-2023
ds003490,ok,ok,ok,ok,ok,ok,60/75,eeg,,,07-03-2023
ds002720,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-11-2024
ds002094,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-04-2024
ds002833,ok,ok,ok,0/80,0/80,0/80,ok,eeg,,,02-21-2024
ds002218,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-04-2024
ds000117,ok,ok,ok,1/96,1/96,0/96,1/96,meg,,,12-19-2023
ds004120,ok,ok,ok,50/131,33/131,33/131,33/131,eeg,,,12-19-2023
ds004119,ok,ok,ok,0/22,0/22,0/22,0/22,eeg,,,08-22-2023
ds004117,ok,ok,ok,ok,ok,74/85,ok,eeg,ok,,02-21-2024
ds004194,ok,ok,ok,166/176,160/176,0/176,166/176,ieeg,,,02-21-2024
ds004264,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-02-2023
ds004215,ok,73/584,73/584,2/584,1/584,0/584,513/584,meg,,Done with NEMAR warning about channel locations.	,02-27-2024
ds004446,ok,ok,ok,129/230,129/230,129/230,129/230,eeg,,EGI data. Should run again.,01-17-2024
ds002722,ok,ok,ok,ok,81/82,81/82,ok,eeg,ok,,02-21-2024
ds004457,ok,ok,ok,ok,ok,ok,ok,ieeg,ok,,01-24-2024
ds004505,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-11-2024
ds002885,-1,-1,-1,-1,-1,-1,-1,meg,,Done. Will not fix. NEMAR.json up to date.,08-05-2024
ds004019,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds004580,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,11-27-2023
ds003944,ok,ok,ok,ok,ok,79/80,ok,eeg,ok,,01-17-2024
ds004279,ok,ok,ok,ok,4/60,4/60,4/60,eeg,,,10-02-2023
ds004532,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,02-21-2024
ds004346,ok,ok,ok,ok,ok,ok,ok,meg,ok,,06-29-2023
ds003816,ok,ok,ok,317/576,317/576,317/576,362/576,eeg,,Submitted batch job 26660542,12-19-2023
ds004572,ok,ok,ok,514/516,512/516,512/516,512/516,eeg,ok,,10-02-2023
ds004696,ok,ok,ok,5/8,5/8,0/8,5/8,ieeg,,,10-02-2023
ds004745,ok,0/6,0/6,0/6,0/6,0/6,ok,eeg,,Done. NEMAR.json updated. Location not available.,08-13-2024
ds004460,ok,ok,ok,7/40,5/40,2/40,5/40,eeg,,,09-19-2023
ds004075,ok,ok,ok,ok,114/115,114/115,114/115,eeg,ok,Corrupted file need to be ignored. See https://github.com/sccn/NEMAR-pipeline/issues/84,08-28-2024
ds004447,ok,ok,ok,324/418,324/418,324/418,324/418,eeg,,,01-17-2024
ds004295,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds003519,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds004107,ok,ok,ok,11/76,0/76,0/76,11/76,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds003458,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
